========== SENDER OPRF STEP 2 ==========
发送方随机数 r_s: 7980827918864421565079662578483006640814382556096375771776030214728595054350
  打乱后位置[219] <- 原始位置[130]
  打乱后位置[220] <- 原始位置[31]
  打乱后位置[221] <- 原始位置[172]
  打乱后位置[222] <- 原始位置[212]
  打乱后位置[223] <- 原始位置[51]
  打乱后位置[224] <- 原始位置[35]
  打乱后位置[225] <- 原始位置[79]
  打乱后位置[226] <- 原始位置[39]
  打乱后位置[227] <- 原始位置[187]
  打乱后位置[228] <- 原始位置[80]
  打乱后位置[229] <- 原始位置[197]
  打乱后位置[230] <- 原始位置[217]
  打乱后位置[231] <- 原始位置[30]
  打乱后位置[232] <- 原始位置[223]
  打乱后位置[233] <- 原始位置[104]
  打乱后位置[234] <- 原始位置[90]
  打乱后位置[235] <- 原始位置[88]
  打乱后位置[236] <- 原始位置[19]
  打乱后位置[237] <- 原始位置[129]
  打乱后位置[238] <- 原始位置[28]
  打乱后位置[239] <- 原始位置[29]
  打乱后位置[240] <- 原始位置[52]
  打乱后位置[241] <- 原始位置[203]
  打乱后位置[242] <- 原始位置[253]
  打乱后位置[243] <- 原始位置[110]
  打乱后位置[244] <- 原始位置[154]
  打乱后位置[245] <- 原始位置[82]
  打乱后位置[246] <- 原始位置[230]
  打乱后位置[247] <- 原始位置[93]
  打乱后位置[248] <- 原始位置[193]
  打乱后位置[249] <- 原始位置[224]
  打乱后位置[250] <- 原始位置[177]
  打乱后位置[251] <- 原始位置[65]
  打乱后位置[252] <- 原始位置[227]
  打乱后位置[253] <- 原始位置[245]
  打乱后位置[254] <- 原始位置[131]
  打乱后位置[255] <- 原始位置[32]

